expected_slug,display_name,source_csvs,track_count,is_multi_track,is_1off_only,is_cover_artist,existing_files,file_count,recommended_action,notes
htrk,HTRK,Songs-HH-2020s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/htrk.md from CSV.
hudson-thames,Hudson Thames,Songs-Hh-2000s-10s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/hudson-thames.md from CSV.
huey-lewis-the-news,Huey Lewis & The News,Songs-Hh-1900s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/huey-lewis-the-news.md from CSV.
huey-piano-smith,"Huey ""Piano"" Smith",Songs-Hh-2000s-10s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/huey-piano-smith.md from CSV.
hum,Hum,Songs-Hh-1900s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/hum.md from CSV.
human-league,The Human League,Songs-Hh-1900s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/human-league.md from CSV.
humblebums,The Humblebums,Songs-Hh-2000s-10s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/humblebums.md from CSV.
hunx-and-his-punx,Hunx and His Punx,All_artists_Hh.csv,2,True,False,False,content\posts\hunx-and-his-punx.md,1,KEEP,Already at canonical location.
hurray-for-the-riff-raff,Hurray For The Riff Raff,All_artists_Hh.csv; Covers-Hh.csv,6,True,False,True,content\posts\hurray-for-the-riff-raff.md,1,KEEP,Already at canonical location.
hvob,HVOB,All_artists_Hh.csv,2,True,False,False,content\posts\hvob.md,1,KEEP,Already at canonical location.
hyd,Hyd,All_artists_Hh.csv,5,True,False,False,content\posts\hyd.md,1,KEEP,Already at canonical location.

"=== ORPHAN FILES (on disk, no CSV match) ==="
expected_slug,display_name,source_csvs,track_count,is_multi_track,is_1off_only,is_cover_artist,existing_files,file_count,recommended_action,notes
(orphan),,,,,,,content\posts\h-e-r-dj-khaled-bryson-tiller.md,1,REVIEW,"Disk file but no CSV match. Either pull a CSV for this artist, rename to canonical, or delete (likely featured-artist concat slug)."
(orphan),,,,,,,content\posts\heavenly-calvin-johnson.md,1,REVIEW,"Disk file but no CSV match. Either pull a CSV for this artist, rename to canonical, or delete (likely featured-artist concat slug)."
(orphan),,,,,,,content\posts\hitkidd-gloss-up-aleza-slimeroni-k-carbon.md,1,REVIEW,"Disk file but no CSV match. Either pull a CSV for this artist, rename to canonical, or delete (likely featured-artist concat slug)."
(orphan),,,,,,,content\posts\homer-hether-flikka.md,1,REVIEW,"Disk file but no CSV match. Either pull a CSV for this artist, rename to canonical, or delete (likely featured-artist concat slug)."
(orphan),,,,,,,content\haircut-100.md,1,REVIEW,"Disk file but no CSV match. Either pull a CSV for this artist, rename to canonical, or delete (likely featured-artist concat slug)."
(orphan),,,,,,,content\half-seas-over.md,1,REVIEW,"Disk file but no CSV match. Either pull a CSV for this artist, rename to canonical, or delete (likely featured-artist concat slug)."
(orphan),,,,,,,content\hamilton-leithauser-i-retired.md,1,REVIEW,"Disk file but no CSV match. Either pull a CSV for this artist, rename to canonical, or delete (likely featured-artist concat slug)."
(orphan),,,,,,,content\heartless-bastards.md,1,REVIEW,"Disk file but no CSV match. Either pull a CSV for this artist, rename to canonical, or delete (likely featured-artist concat slug)."
(orphan),,,,,,,content\herman-dune-with-tankful-of-gas.md,1,REVIEW,"Disk file but no CSV match. Either pull a CSV for this artist, rename to canonical, or delete (likely featured-artist concat slug)."
(orphan),,,,,,,content\howling-hex.md,1,REVIEW,"Disk file but no CSV match. Either pull a CSV for this artist, rename to canonical, or delete (likely featured-artist concat slug)."
(orphan),,,,,,,content\hunx-his-punx-5-songs.md,1,REVIEW,"Disk file but no CSV match. Either pull a CSV for this artist, rename to canonical, or delete (likely featured-artist concat slug)."
(orphan),,,,,,,content\hunx.md,1,REVIEW,"Disk file but no CSV match. Either pull a CSV for this artist, rename to canonical, or delete (likely featured-artist concat slug)."
(orphan),,,,,,,content\hurray-for-riff-raff-3-songs.md,1,REVIEW,"Disk file but no CSV match. Either pull a CSV for this artist, rename to canonical, or delete (likely featured-artist concat slug)."
